,0,CARDINAL,DATE,GPE,LOC,MONEY,NORP,ORG,PERSON,WORK_OF_ART,ORDINAL,QUANTITY,TIME,FAC,LAW,PRODUCT,EVENT,PERCENT,LANGUAGE
0,,1.0,4.0,7.0,,,,13.0,10.0,,1.0,,,,,4.0,,,
0,,,4.0,11.0,1.0,,7.0,12.0,20.0,,,,,,,,,,
0,,2.0,9.0,3.0,,2.0,,2.0,7.0,,3.0,,1.0,,,1.0,,,
0,,1.0,2.0,5.0,,,2.0,4.0,6.0,,1.0,,,,,,,,
0,,8.0,7.0,11.0,1.0,,11.0,10.0,14.0,,2.0,1.0,1.0,1.0,,,,,
0,,7.0,14.0,14.0,1.0,,24.0,26.0,42.0,,,4.0,,1.0,1.0,,1.0,2.0,
0,,14.0,4.0,4.0,,,7.0,30.0,22.0,,23.0,,,4.0,,,,,
0,,4.0,11.0,31.0,4.0,8.0,6.0,56.0,20.0,2.0,1.0,,,,1.0,1.0,,,
0,,,7.0,10.0,1.0,,,16.0,5.0,,3.0,,,,,1.0,,,
0,,3.0,9.0,44.0,,3.0,5.0,12.0,12.0,,1.0,,2.0,,,1.0,,,
0,,5.0,26.0,4.0,,6.0,4.0,7.0,5.0,,1.0,1.0,1.0,,,,,9.0,
0,,1.0,6.0,17.0,1.0,,7.0,6.0,9.0,,5.0,,,1.0,1.0,,,,
0,,,5.0,2.0,,,,11.0,12.0,2.0,2.0,,,,,,,,
0,,6.0,5.0,5.0,,,,7.0,35.0,,3.0,,3.0,,,,1.0,,
0,,9.0,8.0,20.0,8.0,,9.0,30.0,15.0,,2.0,2.0,6.0,1.0,,1.0,1.0,,1.0
0,,12.0,21.0,31.0,1.0,,25.0,7.0,13.0,,1.0,2.0,2.0,,,,,,
0,,,11.0,7.0,,,5.0,7.0,10.0,,,,1.0,2.0,,,,,
0,,25.0,22.0,20.0,4.0,22.0,17.0,88.0,41.0,,3.0,,8.0,14.0,2.0,8.0,,,
0,,6.0,17.0,22.0,1.0,,14.0,21.0,16.0,1.0,1.0,,2.0,,,,,,
0,,1.0,12.0,7.0,2.0,,6.0,16.0,16.0,1.0,1.0,,1.0,,,,,4.0,
0,,5.0,11.0,12.0,,,8.0,5.0,22.0,9.0,1.0,,1.0,,,,,,
0,,4.0,9.0,32.0,2.0,,17.0,18.0,24.0,3.0,,,1.0,,,,1.0,,
0,,1.0,8.0,9.0,,,8.0,8.0,12.0,,4.0,,,,,,,,
0,,,5.0,13.0,1.0,,4.0,7.0,5.0,,,,,,,,,,
0,,18.0,13.0,21.0,3.0,,10.0,15.0,10.0,,5.0,,2.0,,,,,,
0,,11.0,22.0,45.0,,2.0,28.0,46.0,20.0,,,,,,,,1.0,5.0,
0,,4.0,8.0,46.0,5.0,,21.0,14.0,19.0,1.0,1.0,,,1.0,1.0,,,,
0,,1.0,10.0,4.0,,,3.0,25.0,43.0,,,,,,,1.0,,,
0,,1.0,2.0,10.0,,,6.0,7.0,6.0,,,,,1.0,,,,,
0,,2.0,6.0,17.0,,,9.0,11.0,15.0,,1.0,,,,,,,,
0,,,14.0,51.0,6.0,,11.0,17.0,35.0,2.0,,,,,,,,,
0,,9.0,14.0,12.0,,,3.0,10.0,1.0,,2.0,,2.0,,,,1.0,1.0,
0,,,3.0,2.0,1.0,,2.0,9.0,15.0,1.0,,,,,,,,,
0,,,10.0,6.0,,,3.0,8.0,8.0,1.0,,,,,,,1.0,,
0,,8.0,17.0,30.0,1.0,1.0,14.0,14.0,19.0,1.0,2.0,,1.0,,,,,2.0,
0,,1.0,11.0,12.0,1.0,,4.0,7.0,9.0,,1.0,,,1.0,,,,3.0,
0,,2.0,2.0,4.0,1.0,,15.0,9.0,7.0,2.0,1.0,,,,,,,,
0,,1.0,7.0,17.0,1.0,,12.0,12.0,16.0,4.0,3.0,,1.0,,,,,,
0,,,9.0,18.0,1.0,,13.0,15.0,10.0,,2.0,,1.0,,,,,,
0,,1.0,13.0,2.0,,5.0,,25.0,7.0,,,,,,,,,,
0,,4.0,12.0,14.0,,1.0,13.0,31.0,33.0,,4.0,,5.0,,,,,,1.0
0,,1.0,15.0,35.0,1.0,2.0,22.0,17.0,21.0,,,,,2.0,,,,,
0,,,32.0,10.0,5.0,9.0,5.0,8.0,6.0,1.0,2.0,,,1.0,,,,9.0,2.0
0,,,,3.0,1.0,,3.0,8.0,,,1.0,,,,,,,,1.0
0,,3.0,4.0,6.0,,,9.0,5.0,19.0,,,,,,,,,,
0,,2.0,4.0,8.0,,,9.0,15.0,10.0,,1.0,,,,,,,1.0,
0,,1.0,10.0,22.0,,1.0,1.0,8.0,6.0,,,,,,,,,,
0,,1.0,14.0,5.0,,,3.0,7.0,6.0,,,,1.0,,,,2.0,,
0,,,6.0,14.0,1.0,,2.0,11.0,2.0,,,1.0,,,,,1.0,,
0,,2.0,15.0,10.0,,3.0,,5.0,4.0,,,15.0,2.0,,,,,4.0,
0,,1.0,13.0,6.0,,3.0,4.0,14.0,3.0,,,,,,,2.0,,2.0,
0,,3.0,6.0,4.0,,,,4.0,7.0,,,2.0,,,,1.0,,,
0,,8.0,3.0,,,,2.0,6.0,7.0,,,,,,1.0,,,,
0,,5.0,5.0,8.0,,,1.0,18.0,15.0,,1.0,,1.0,1.0,,,,,
0,,1.0,6.0,4.0,,,4.0,3.0,13.0,,1.0,2.0,,1.0,,,2.0,1.0,
0,,3.0,13.0,34.0,1.0,6.0,14.0,10.0,15.0,,,,,1.0,,,,,
0,,5.0,18.0,43.0,,,10.0,11.0,11.0,,,,,1.0,,,,9.0,
0,,1.0,5.0,6.0,2.0,,1.0,5.0,6.0,,,,,,,,1.0,,
0,,1.0,2.0,14.0,,,11.0,6.0,8.0,,1.0,1.0,2.0,,1.0,,1.0,,
0,,5.0,2.0,34.0,1.0,,12.0,12.0,10.0,,,,,,,,1.0,1.0,
0,,1.0,13.0,2.0,,,8.0,10.0,14.0,,1.0,,,,,,,13.0,
0,,2.0,7.0,6.0,1.0,,3.0,11.0,22.0,3.0,2.0,,1.0,,,,,,
0,,2.0,7.0,6.0,2.0,,,4.0,24.0,11.0,3.0,,1.0,1.0,,,1.0,,1.0
0,,2.0,10.0,8.0,,,27.0,26.0,36.0,2.0,,,1.0,,,2.0,1.0,,
0,,2.0,7.0,7.0,,4.0,1.0,5.0,1.0,,,,,,,,,4.0,
0,,1.0,9.0,5.0,,,1.0,9.0,9.0,,,,,,,,2.0,,
0,,3.0,17.0,20.0,12.0,,10.0,8.0,7.0,,1.0,,,,,,6.0,,
0,,1.0,4.0,5.0,,,1.0,6.0,2.0,,,,,1.0,,,,,
0,,5.0,4.0,33.0,1.0,,30.0,10.0,16.0,,2.0,,,,,,,,1.0
0,,5.0,7.0,8.0,3.0,1.0,11.0,21.0,9.0,,,,,,,,,2.0,
0,,8.0,10.0,46.0,2.0,,13.0,16.0,7.0,,5.0,,,,,,2.0,,1.0
0,,4.0,5.0,6.0,,,1.0,11.0,2.0,,1.0,,,,,,,,
0,,,4.0,6.0,12.0,,6.0,3.0,11.0,,3.0,,,,,,1.0,,
0,,,2.0,5.0,,2.0,1.0,8.0,9.0,,,,,,,,,,
0,,,6.0,38.0,4.0,,12.0,2.0,20.0,,,,1.0,,,,2.0,,
0,,13.0,6.0,7.0,,,,28.0,4.0,,4.0,,,,,,1.0,,
0,,6.0,10.0,9.0,1.0,,11.0,6.0,19.0,,1.0,1.0,3.0,,,,6.0,,
0,,20.0,11.0,55.0,15.0,,16.0,17.0,3.0,,1.0,,,2.0,,,10.0,,
0,,,5.0,20.0,2.0,,5.0,23.0,12.0,,2.0,,,1.0,2.0,,1.0,,
0,,4.0,7.0,7.0,4.0,,7.0,10.0,35.0,,,,,,,1.0,1.0,,
0,,2.0,6.0,10.0,,,2.0,10.0,1.0,,,,,,,1.0,,,
0,,5.0,13.0,23.0,8.0,,16.0,15.0,24.0,,,,,1.0,,2.0,2.0,,
0,,,8.0,13.0,9.0,,9.0,21.0,21.0,,,,,,2.0,,3.0,,1.0
0,,2.0,13.0,2.0,,2.0,1.0,4.0,7.0,,,,,,2.0,,,,
0,,23.0,22.0,39.0,3.0,1.0,2.0,16.0,28.0,1.0,1.0,,7.0,,,1.0,4.0,,
0,,1.0,8.0,1.0,,6.0,1.0,18.0,29.0,,,,,1.0,,,,,
0,,,2.0,1.0,1.0,,5.0,2.0,10.0,,,,1.0,1.0,,,1.0,,
0,,3.0,6.0,16.0,,,3.0,8.0,7.0,,2.0,,,,,,,,
0,,1.0,5.0,1.0,,3.0,1.0,17.0,12.0,1.0,,,,,,,,,
0,,2.0,12.0,34.0,5.0,,11.0,7.0,32.0,,2.0,,,1.0,1.0,,1.0,,
0,,1.0,5.0,13.0,6.0,,5.0,2.0,6.0,,,2.0,,,,,1.0,,
0,,,7.0,2.0,,2.0,1.0,4.0,1.0,,,,1.0,,,,,,
0,,,6.0,,,,1.0,4.0,6.0,,1.0,,,,,,,,
0,,,9.0,17.0,6.0,,1.0,8.0,12.0,,1.0,,1.0,,,,1.0,,
0,,4.0,5.0,6.0,1.0,,7.0,10.0,17.0,,,,,1.0,1.0,,4.0,,
0,,5.0,16.0,1.0,,,2.0,9.0,6.0,,,,,,1.0,,,,
0,,5.0,4.0,4.0,,,1.0,3.0,6.0,,1.0,,3.0,1.0,,,2.0,,
0,,8.0,5.0,5.0,1.0,1.0,4.0,8.0,9.0,,1.0,,,,,,,1.0,
0,,,3.0,4.0,3.0,,2.0,1.0,12.0,,4.0,,,,,,,,
0,,5.0,10.0,15.0,1.0,1.0,8.0,20.0,2.0,,2.0,,,,1.0,,1.0,5.0,
0,,6.0,3.0,9.0,1.0,,2.0,9.0,5.0,,2.0,,1.0,,4.0,,1.0,3.0,
0,,2.0,6.0,53.0,2.0,,12.0,11.0,20.0,,1.0,,,,,,4.0,,
0,,3.0,8.0,13.0,10.0,,9.0,6.0,15.0,,2.0,1.0,,,,,3.0,,
0,,1.0,5.0,6.0,,,6.0,3.0,18.0,,,,,1.0,,,3.0,1.0,
0,,7.0,7.0,11.0,,,4.0,5.0,10.0,,12.0,1.0,1.0,2.0,,,4.0,,
0,,2.0,4.0,1.0,,1.0,1.0,9.0,2.0,,,,,,,1.0,,,
0,,1.0,13.0,40.0,6.0,,18.0,10.0,24.0,,1.0,,,,,,5.0,,
0,,1.0,6.0,5.0,1.0,,5.0,17.0,17.0,3.0,5.0,,,1.0,,,,,
0,,3.0,9.0,15.0,5.0,,7.0,7.0,9.0,,1.0,,,,,,,,
0,,6.0,14.0,2.0,,,1.0,5.0,7.0,,,,,,6.0,,,,
0,,,6.0,7.0,1.0,,1.0,2.0,4.0,,,1.0,4.0,,,,,,
0,,15.0,4.0,6.0,1.0,,4.0,1.0,10.0,,7.0,,1.0,2.0,,,5.0,,
0,,3.0,4.0,2.0,,3.0,3.0,9.0,2.0,,,,2.0,2.0,,,1.0,,
0,,,7.0,7.0,,1.0,3.0,7.0,2.0,,,,,,,,,,
0,,4.0,11.0,8.0,1.0,2.0,5.0,18.0,24.0,1.0,1.0,,,1.0,,,,,
0,,1.0,5.0,45.0,3.0,,8.0,14.0,11.0,,,1.0,,,,,3.0,,
0,,2.0,8.0,4.0,,,1.0,3.0,13.0,,3.0,,,,,,,,
0,,6.0,3.0,54.0,1.0,,31.0,28.0,3.0,1.0,3.0,,1.0,,,1.0,,,
0,,,2.0,9.0,1.0,,3.0,2.0,1.0,,1.0,,1.0,,8.0,,,,
0,,5.0,18.0,35.0,4.0,5.0,5.0,21.0,6.0,,1.0,,,,,,,5.0,
0,,,7.0,12.0,,,2.0,3.0,4.0,,,,,,,,2.0,,
0,,2.0,5.0,3.0,,,5.0,10.0,5.0,1.0,1.0,1.0,1.0,,,,3.0,,
0,,3.0,6.0,12.0,3.0,,8.0,13.0,24.0,,,,,,,,4.0,,
0,,3.0,7.0,8.0,1.0,,8.0,3.0,7.0,,1.0,,,,,,1.0,,
0,,2.0,17.0,24.0,1.0,3.0,9.0,8.0,12.0,,3.0,2.0,,,,,3.0,8.0,
0,,5.0,5.0,6.0,,,2.0,7.0,6.0,,,,,1.0,,,,3.0,
0,,6.0,5.0,6.0,,,2.0,2.0,4.0,,3.0,1.0,,,,,,,
0,,8.0,13.0,9.0,,,2.0,7.0,5.0,,2.0,2.0,1.0,,1.0,,7.0,,
0,,18.0,9.0,11.0,,1.0,5.0,4.0,19.0,,3.0,11.0,,,,,4.0,,
0,,7.0,4.0,9.0,6.0,,6.0,4.0,7.0,,,,,,,,1.0,,
0,,2.0,4.0,22.0,4.0,,8.0,11.0,21.0,,2.0,,1.0,,,,1.0,,
0,,2.0,10.0,17.0,4.0,6.0,5.0,6.0,6.0,,1.0,,,1.0,,,4.0,,
0,,,3.0,6.0,4.0,,3.0,9.0,9.0,,,,,,,,3.0,,
0,,9.0,4.0,10.0,1.0,,8.0,3.0,3.0,,3.0,,,,,,,,
0,,1.0,4.0,11.0,,,3.0,11.0,9.0,,,,,1.0,,,,,
0,,,3.0,7.0,1.0,,10.0,1.0,24.0,,,,,,,,,,
0,,5.0,5.0,10.0,,1.0,10.0,7.0,3.0,,1.0,,,,,,,,
0,,1.0,5.0,22.0,3.0,,3.0,21.0,13.0,,1.0,,,,,1.0,,,
0,,4.0,3.0,8.0,,,,10.0,8.0,,,,,,,,,,
0,,,6.0,12.0,,,6.0,3.0,17.0,,1.0,,,,,,2.0,,
0,,,7.0,7.0,2.0,,3.0,2.0,8.0,1.0,,,,1.0,1.0,,,,
0,,3.0,5.0,8.0,,,8.0,21.0,20.0,1.0,1.0,,,,,,7.0,,
0,,1.0,6.0,8.0,,,3.0,12.0,12.0,,1.0,,,,,,,,
0,,2.0,13.0,31.0,7.0,,24.0,22.0,19.0,1.0,2.0,,,,,,,,
0,,,3.0,6.0,1.0,,8.0,4.0,10.0,,,,,,,,3.0,,
0,,1.0,7.0,2.0,,2.0,1.0,6.0,6.0,,,,,,,,,,
0,,8.0,20.0,49.0,18.0,,10.0,12.0,29.0,,,,,,,1.0,7.0,,
0,,2.0,6.0,,,,2.0,4.0,2.0,,3.0,,1.0,,,,,,8.0
0,,3.0,7.0,23.0,2.0,2.0,7.0,17.0,3.0,,1.0,,,,2.0,,,,
0,,,2.0,6.0,8.0,,8.0,2.0,12.0,,2.0,,,,,,1.0,,
0,,6.0,8.0,11.0,,,17.0,14.0,32.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,3.0
0,,2.0,1.0,,,,,3.0,2.0,,,,4.0,1.0,,,,,
0,,5.0,10.0,22.0,3.0,,5.0,8.0,6.0,,,,,,,,3.0,,
0,,1.0,2.0,7.0,7.0,2.0,8.0,7.0,4.0,,,,,,,,5.0,,
0,,1.0,2.0,3.0,,,1.0,2.0,1.0,,,,,,,,,,
0,,,6.0,15.0,2.0,,6.0,6.0,11.0,,1.0,,,,,1.0,2.0,,
0,,,5.0,12.0,2.0,,2.0,5.0,7.0,,,,,1.0,,,1.0,,
0,,3.0,8.0,23.0,9.0,,10.0,10.0,17.0,,,,1.0,,3.0,1.0,,,
0,,9.0,9.0,15.0,,,7.0,1.0,13.0,,5.0,4.0,5.0,1.0,,,1.0,,
0,,2.0,9.0,17.0,1.0,,8.0,4.0,11.0,,2.0,1.0,,,,,5.0,,
0,,3.0,9.0,26.0,,,3.0,15.0,8.0,,1.0,,,1.0,2.0,,1.0,4.0,
0,,12.0,5.0,23.0,,,3.0,2.0,5.0,,7.0,1.0,,1.0,,,2.0,,
0,,1.0,12.0,1.0,,1.0,1.0,22.0,18.0,,3.0,,,,,1.0,,,
0,,1.0,2.0,1.0,,1.0,,4.0,5.0,,,,,,,,,,
0,,9.0,4.0,8.0,3.0,,,8.0,11.0,,,,1.0,1.0,,,,,
0,,6.0,19.0,13.0,,,6.0,9.0,28.0,6.0,1.0,,,3.0,,,,,1.0
0,,,5.0,7.0,3.0,1.0,4.0,14.0,4.0,,,,,,,,,1.0,
0,,4.0,5.0,38.0,1.0,,13.0,10.0,13.0,1.0,1.0,,,,,,1.0,,
0,,5.0,4.0,17.0,,2.0,5.0,12.0,13.0,,1.0,,,2.0,,1.0,,5.0,
0,,2.0,7.0,16.0,1.0,,6.0,6.0,15.0,1.0,1.0,,,1.0,,,2.0,,
0,,1.0,8.0,35.0,1.0,1.0,23.0,19.0,12.0,,,,,3.0,,,,,
0,,4.0,6.0,7.0,,,,31.0,21.0,,4.0,,,,1.0,1.0,,,
0,,5.0,6.0,20.0,,1.0,2.0,10.0,4.0,,,,,,,,,,
0,,2.0,6.0,,,,,10.0,,,2.0,,,,1.0,,,,
0,,2.0,9.0,11.0,,,21.0,10.0,8.0,,2.0,,,,,1.0,,,41.0
0,,1.0,7.0,20.0,,3.0,6.0,18.0,6.0,,,,,,,,,,
0,,3.0,6.0,7.0,,,,32.0,10.0,,,,,,,,,3.0,
0,,2.0,5.0,42.0,,,12.0,5.0,31.0,,1.0,,,,,,3.0,,
0,,,12.0,7.0,,7.0,2.0,23.0,5.0,,2.0,,1.0,,,,,1.0,
0,,3.0,10.0,14.0,2.0,,5.0,9.0,7.0,,,,,,,1.0,9.0,,
0,,2.0,10.0,29.0,1.0,,11.0,9.0,15.0,,1.0,,,,,,,,
0,,2.0,11.0,20.0,3.0,,1.0,16.0,2.0,,,,,1.0,,,,1.0,
0,,,11.0,9.0,3.0,,4.0,5.0,5.0,,,2.0,,,,,5.0,,
0,,3.0,3.0,34.0,2.0,,26.0,13.0,4.0,1.0,1.0,,,,1.0,4.0,2.0,,1.0
0,,2.0,10.0,3.0,,,2.0,25.0,21.0,1.0,1.0,,,,,,3.0,,
0,,1.0,8.0,8.0,,,1.0,10.0,9.0,,3.0,1.0,1.0,,,,,,
0,,,6.0,9.0,,,6.0,4.0,11.0,,1.0,,,1.0,,,3.0,,
0,,6.0,6.0,33.0,4.0,,10.0,14.0,48.0,,1.0,,1.0,1.0,,,1.0,,
0,,,5.0,3.0,,5.0,1.0,6.0,1.0,,2.0,,,,,,,,
0,,3.0,8.0,30.0,6.0,,12.0,6.0,27.0,,,,,1.0,,,1.0,,
0,,4.0,7.0,13.0,3.0,,4.0,7.0,7.0,,,2.0,1.0,,,,3.0,,
0,,,9.0,4.0,,,1.0,12.0,9.0,,1.0,,,1.0,,,,,
0,,3.0,7.0,7.0,1.0,,1.0,11.0,9.0,,,,,,,,,,
0,,2.0,4.0,18.0,4.0,4.0,6.0,6.0,8.0,,2.0,,1.0,,,,,2.0,
0,,2.0,15.0,3.0,,14.0,1.0,4.0,5.0,,1.0,,,,,,,2.0,
0,,7.0,4.0,10.0,3.0,,,4.0,5.0,,,4.0,3.0,,,,,,
0,,,3.0,2.0,,,1.0,3.0,7.0,1.0,,,,,,,,,
0,,2.0,8.0,7.0,6.0,,4.0,2.0,7.0,,,,,,,,1.0,,
0,,,2.0,24.0,4.0,,2.0,7.0,10.0,,1.0,,1.0,,,1.0,,,
0,,23.0,5.0,20.0,4.0,,3.0,14.0,21.0,1.0,1.0,,,,,,2.0,,
0,,,5.0,53.0,13.0,,4.0,8.0,17.0,2.0,2.0,,,5.0,1.0,,1.0,,
0,,5.0,4.0,6.0,,,1.0,19.0,4.0,1.0,3.0,3.0,,1.0,,2.0,1.0,,
0,,5.0,4.0,9.0,,,7.0,2.0,9.0,,,,,,,,,,
0,,,2.0,1.0,,,1.0,2.0,4.0,,,,,,,,,,
0,,4.0,9.0,14.0,1.0,,9.0,5.0,15.0,,2.0,1.0,1.0,,,,6.0,,
0,,4.0,3.0,7.0,1.0,,3.0,16.0,2.0,,,,,,,,,1.0,
0,,3.0,9.0,7.0,1.0,2.0,,13.0,11.0,,,,,,,1.0,,,
0,,2.0,3.0,10.0,10.0,,,11.0,8.0,,,1.0,,,,3.0,,,
0,,1.0,4.0,19.0,1.0,,9.0,3.0,13.0,,,,,1.0,,,1.0,,
0,,,4.0,17.0,,,15.0,8.0,14.0,,1.0,1.0,,2.0,,,,,
0,,1.0,7.0,13.0,1.0,,4.0,4.0,4.0,,,,,,,,4.0,,1.0
0,,2.0,12.0,23.0,,,14.0,7.0,27.0,,1.0,1.0,,,,,3.0,,
0,,15.0,7.0,14.0,,3.0,6.0,3.0,2.0,,,,1.0,,,,,,
0,,3.0,2.0,8.0,,3.0,2.0,4.0,4.0,,,,,,,,4.0,,
0,,8.0,5.0,2.0,,,2.0,7.0,2.0,,1.0,1.0,1.0,,1.0,,2.0,,
0,,,9.0,21.0,1.0,,7.0,11.0,8.0,1.0,2.0,,,,,,1.0,,
0,,,5.0,12.0,,,5.0,14.0,17.0,,,,,,,,,3.0,
0,,2.0,13.0,4.0,1.0,6.0,1.0,6.0,12.0,1.0,,,,,,,,,
0,,1.0,7.0,6.0,12.0,,9.0,2.0,24.0,,2.0,,,,,,2.0,,
0,,,4.0,7.0,,,2.0,10.0,14.0,,4.0,,,1.0,,,,,
0,,,7.0,1.0,,,,1.0,6.0,1.0,,,1.0,2.0,,,,,
0,,,4.0,,,,,5.0,9.0,,1.0,,,,,,,,
0,,8.0,9.0,9.0,1.0,,3.0,8.0,18.0,,4.0,6.0,,1.0,,,8.0,,
0,,2.0,7.0,23.0,2.0,,2.0,12.0,12.0,,,1.0,,,,2.0,1.0,,
0,,1.0,5.0,16.0,1.0,,11.0,15.0,5.0,,1.0,,,,,,,,
0,,2.0,9.0,11.0,,5.0,,6.0,3.0,,,,,,,,,7.0,
0,,1.0,9.0,2.0,,,2.0,13.0,9.0,,,,,1.0,,,1.0,,
0,,,5.0,4.0,,2.0,1.0,6.0,6.0,,,,,,1.0,,,,
0,,5.0,14.0,7.0,7.0,,2.0,18.0,13.0,,2.0,,,1.0,,,1.0,,
0,,1.0,7.0,24.0,3.0,1.0,7.0,7.0,9.0,1.0,,,,,,,2.0,,
0,,1.0,2.0,,,,,1.0,3.0,,,,,,,,,,
0,,4.0,3.0,1.0,,2.0,2.0,16.0,4.0,,,,,,,,,,
0,,2.0,4.0,40.0,9.0,,3.0,10.0,13.0,,1.0,1.0,,,,,3.0,,
0,,8.0,4.0,16.0,10.0,,11.0,12.0,19.0,,,,,1.0,1.0,,1.0,3.0,
0,,3.0,9.0,38.0,6.0,,8.0,9.0,33.0,,4.0,,,1.0,,,5.0,,
0,,,4.0,1.0,,,1.0,4.0,3.0,,2.0,,1.0,,,,,,
0,,5.0,5.0,12.0,3.0,,9.0,9.0,16.0,,,,1.0,,,1.0,6.0,1.0,
0,,,7.0,31.0,2.0,,6.0,10.0,6.0,,,,,,,,1.0,,1.0
0,,,6.0,3.0,,,,3.0,7.0,,1.0,,,,,,,,
0,,1.0,3.0,52.0,6.0,,9.0,21.0,27.0,,4.0,,,1.0,,1.0,1.0,,
0,,,3.0,33.0,3.0,,5.0,13.0,17.0,,1.0,,,,,,2.0,,
0,,5.0,9.0,14.0,1.0,,1.0,20.0,4.0,,2.0,,,1.0,,1.0,2.0,,
0,,,10.0,9.0,,,3.0,14.0,10.0,,3.0,1.0,,,,,,,
0,,4.0,6.0,1.0,,,1.0,4.0,7.0,,,,,,,,,,
0,,3.0,6.0,8.0,3.0,,7.0,,14.0,,,,,,,1.0,1.0,,
0,,,7.0,1.0,,1.0,,12.0,13.0,1.0,,,,1.0,,,,,
0,,6.0,10.0,18.0,,1.0,,23.0,1.0,1.0,2.0,,,,,1.0,,2.0,
0,,6.0,11.0,,,,3.0,13.0,5.0,,1.0,,,,,,,3.0,
0,,2.0,8.0,45.0,5.0,,11.0,10.0,23.0,1.0,,,,,,,4.0,,
0,,,1.0,2.0,,,1.0,5.0,9.0,,,,1.0,,,,,,
0,,3.0,10.0,9.0,2.0,,5.0,12.0,9.0,,1.0,,1.0,1.0,,1.0,10.0,,
0,,16.0,9.0,12.0,,,1.0,9.0,7.0,,1.0,,,,,,,,
0,,3.0,8.0,7.0,,4.0,2.0,9.0,2.0,,3.0,2.0,,,,,,2.0,
0,,3.0,6.0,16.0,5.0,,12.0,5.0,34.0,,1.0,,,1.0,,2.0,,,
0,,1.0,5.0,7.0,,2.0,1.0,7.0,16.0,,,,1.0,2.0,,,,,
0,,7.0,7.0,6.0,,,,12.0,6.0,,,1.0,,,,,3.0,,
0,,3.0,7.0,67.0,3.0,,13.0,11.0,17.0,,,,,1.0,,,2.0,2.0,
0,,2.0,6.0,4.0,1.0,,,14.0,1.0,,,,,,,1.0,,,
0,,5.0,9.0,19.0,12.0,,7.0,9.0,29.0,,,,1.0,,,2.0,4.0,,
0,,1.0,1.0,4.0,,,,9.0,1.0,1.0,,,,,,,2.0,,
0,,4.0,7.0,22.0,4.0,,11.0,19.0,18.0,,,,2.0,,,,3.0,,
0,,5.0,10.0,10.0,1.0,1.0,7.0,32.0,12.0,,4.0,,,,,1.0,1.0,,
0,,,4.0,12.0,,,2.0,9.0,6.0,,,,,,,,,,
0,,5.0,3.0,3.0,,,1.0,4.0,2.0,,1.0,,,,,,,,
0,,5.0,21.0,2.0,,6.0,1.0,7.0,15.0,,2.0,,,,,,,2.0,
0,,5.0,2.0,2.0,,,4.0,2.0,2.0,,1.0,1.0,2.0,,,,,,
0,,5.0,6.0,9.0,,2.0,3.0,6.0,5.0,,,,,,,,,3.0,
0,,,7.0,52.0,5.0,,2.0,17.0,23.0,,,,,1.0,,,2.0,,
0,,5.0,8.0,4.0,1.0,9.0,2.0,6.0,19.0,,,,,1.0,,,,,
0,,14.0,22.0,2.0,,6.0,3.0,25.0,12.0,,10.0,,,1.0,,,,,
0,,6.0,4.0,32.0,4.0,,3.0,6.0,7.0,,,,,,,2.0,2.0,,
0,,,3.0,2.0,,4.0,,8.0,8.0,,,,,,,,,,
0,,,9.0,12.0,5.0,,11.0,9.0,14.0,1.0,2.0,,,,1.0,,3.0,,
0,,8.0,5.0,13.0,1.0,,6.0,6.0,10.0,,1.0,,,,,,,3.0,
0,,1.0,2.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,
0,,2.0,7.0,7.0,,,7.0,4.0,16.0,,2.0,,,,,,1.0,,
0,,3.0,3.0,4.0,,3.0,1.0,4.0,1.0,,,,,2.0,,,,,
0,,2.0,12.0,15.0,4.0,,5.0,8.0,36.0,,,,1.0,2.0,,,1.0,,
0,,2.0,6.0,3.0,,,,4.0,9.0,,,1.0,,,,,,,
0,,,12.0,8.0,3.0,,6.0,5.0,3.0,,1.0,,,,,,5.0,,
0,,3.0,4.0,3.0,,,1.0,9.0,10.0,,1.0,,,,,,,,
0,,4.0,13.0,30.0,9.0,,14.0,4.0,8.0,,1.0,1.0,2.0,,,,4.0,,
0,,3.0,8.0,16.0,9.0,,12.0,5.0,17.0,,,,,,,,5.0,,
0,,,1.0,,,,1.0,5.0,4.0,,,,,,,,,,
0,,3.0,6.0,13.0,3.0,3.0,4.0,19.0,12.0,,2.0,,,,,,,,
0,,2.0,6.0,23.0,1.0,,4.0,5.0,7.0,,3.0,,,,,,,,
0,,12.0,13.0,44.0,5.0,,10.0,18.0,13.0,,1.0,,,,,,2.0,,
0,,17.0,6.0,24.0,,,7.0,6.0,29.0,1.0,16.0,,,,,1.0,3.0,,
0,,2.0,6.0,13.0,4.0,,4.0,4.0,5.0,,,,,,,,1.0,,
0,,3.0,3.0,10.0,,,7.0,15.0,13.0,,3.0,,,,,,,,
0,,1.0,2.0,74.0,8.0,,32.0,5.0,10.0,,1.0,,,,,,3.0,,
0,,5.0,12.0,21.0,7.0,,14.0,2.0,5.0,2.0,1.0,,,,,,,,
0,,5.0,1.0,13.0,,,4.0,2.0,3.0,,,,,,,,,16.0,
0,,3.0,4.0,25.0,,,3.0,5.0,12.0,,,,,,,,,1.0,
0,,10.0,12.0,8.0,2.0,3.0,6.0,39.0,8.0,1.0,4.0,,,,1.0,,1.0,1.0,
0,,,7.0,8.0,2.0,,9.0,6.0,10.0,,,,,,,1.0,,,
